Dataset ID,Commit Amount
aajajcaie,79
aajajeada,14
aajajeafg,1
aajajeebc,1
aajajeiah,7
aajbebjea,30
aajbegfga,10
aajbibibf,50
aajcadhbi,7
aajceeeid,11
aajcjfcfc,224
aajdbdjhc,22
aadfjfbei,48
aadfjffba,10
aadgdceja,2
aadgdedcd,26
aaebchhbi,1
aaebcicac,3
aaecffcjj,3
aaechihca,15
aadjgaafb,25
aaeabdbie,2
aaeabhhbb,23
aaeacgjbc,26
aaeachbce,11
aaeadhaaa,9
aaeadhaac,9
aaeaebdeb,1
aadhbjffg,18
aadhbjfid,22
aadhbjgee,12
aadhiecba,27
aahhiefcg,57
aahhjifdh,11
aahhjiggi,191
aahiebjbd,1
aaecjbjih,36
aaecjdbfd,3
aaecjejcg,1
aaedbbggg,3
aaedccbjg,161
aaedcebdc,75
aaedgccej,7
aaedgcchh,9
aaedhahfd,12
aaedgjcca,6
aaedhfgfg,1
aaedhgdgd,123
aaedjcbec,3
aaeebhbid,5
aaeebhdhc,1
aaeebjfdb,61
aaeecihei,4
aafhddaff,42
aagaceabd,74
aagacecbg,3
aagachfbc,1
aagbbijhe,18
aagbiaaje,1
aagbjbdaa,1
aagcajieb,52
aagaahfid,33
aaejhhjgg,4
aafadbdba,2
aafajdech,1
aafcficab,54
aafcgeehi,3
aafcgegjb,50
aafciifib,9
aaahghahd,4
aadejjjdj,5
aadfachjd,150
aadfcehfi,10
aadfcfhgh,22
aadfdgaei,19
aadfiabdh,9
aadfibefa,2
aadgbfhfe,4
aadgfccbh,4
aadgfdibb,2
aadgfhbji,33
aadggcdfe,1
aadghedce,2
aadghfgba,1
aadghfjje,10
aaeahhibj,2
aaeahiijb,12
aaebagcaf,51
aaebaidjj,32
aaebajfae,1
aaebbccje,6
aaebbdffg,413
aaebhbijb,7
aaebhhdjf,51
aafhbiafe,45
aafhghged,7
aafhhaijc,4
aafhgjjgb,9
aagafdjff,2
aagafeacd,249
aagaggghg,8
aagaghfef,9
aagahbdgi,16
aagahbjib,3
aagaidbae,3
aagaijeha,14
aagbcgbed,1
aagbcgbif,1
aagbejabg,2
aagccgcda,47
aagdjhfhb,5
aagdjibjh,4
aagdjigjj,46
aagejceff,45
aagejcfcd,10
aagejdccj,254
aagejejie,3
aagejejha,5
aagejhdij,5
aagfjeihb,3
aaggbcefi,1
aaggdgegi,102
aaggfbbba,58
