Dataset ID,Diff Amount
aajajcaie,281
aajajeada,88
aajajeafg,170
aajajeebc,921
aajajeiah,2
aajajfhjf,2211
aajbeagca,500
aajbeajbg,18
aajbebjea,40
aajbegfga,504
aajbibibf,81
aajcadhbi,nan
aajceeeid,nan
aajcjfcfc,10
aajcjfibg,nan
aajdbdjhc,170
aadfjfbei,355
aadfjfcaf,nan
aadfjffba,812
aadgdceja,75
aadgdedcd,98
aaebchhbi,98
aaebcicac,196
aaecffcjj,296
aaechihca,187
aadjgaafb,108
aaeaahhif,127
aaeaajcah,573
aaeabdbie,136
aaeabhhbb,137
aaeacejeh,145
aaeacgjbc,10
aaeachbce,18
aaeadhaaa,230
aaeadhaac,230
aaeaebdeb,200
aadhbjffg,918
aadhbjfid,399
aadhbjgee,918
aadhgdchi,nan
aadhiecba,13
aahhiefcg,14
aahhjifdh,1507
aahhjiggi,48
aahiebjbd,nan
aaecjbjih,128
aaecjdbfd,1125
aaecjdgee,2704
aaecjejcg,4
aaedbbfhf,nan
aaedbbggg,157
aaedbehab,nan
aaedccbjg,27
aaedcebdc,421
aaedgccej,33
aaedgcchh,718
aaedgcgja,718
aaedhahfd,502
aaedgjcca,116
aaedgjccg,7575
aaedhfgfg,363
aaedhgdgd,46
aaediecja,1776
aaedjcbec,265
aaeebhbid,50
aaeebhdhc,333
aaeebjfdb,55
aaeecihei,278
aafhddaff,130
aagaceabd,93
aagacecbg,41
aagachfbc,246
aagbbijch,0
aagbbijhe,707
aagbiaaje,346
aagbjbdaa,355
aagcajieb,50
aagaahfid,nan
aagaaibge,nan
aagaaibgg,nan
aagaaibhf,nan
aagaaibhg,nan
aagaaihge,nan
aaejhhjgg,169
aafadbdba,377
aafajdech,81
aafcficab,982
aafcgeehi,558
aafcgegjb,1
aafciabjh,136
aafciacbi,136
aafciifib,nan
aaahghahd,180
aadejjjdj,264
aadfachjd,44
aadfahibe,1353
aadfcehfi,12
aadfcfhgh,644
aadfdgaei,114
aadfiabdh,9
aadfibefa,10
aadgbfhfe,2101
aadgfccbh,73
aadgfdibb,242
aadgfhbji,56
aadggcdfe,69
aadghedce,121
aadghfgba,1
aadghfjje,16
aaeahhibj,653
aaeahjejd,25099
aaeahiijb,25099
aaebagcaf,4
aaebaidjj,98
aaebaiiga,141
aaebajfae,309
aaebbccje,72
aaebbdffg,nan
aaebhbijb,479
aaebhhdjf,1050
aaebhjdfd,nan
aafhbiafe,40
aafhghged,106
aafhhaijc,686
aafhgjjgb,6
aagafdjff,85
aagafeacd,15
aagaggghg,215
aagaghfef,176
aagagiiae,1274
aagahbdgi,173
aagahbjib,160
aagaidbae,211
aagaijeha,904
aagbcgbed,nan
aagbcgbif,0
aagbejabg,178
aagccgcda,34
aagdjhfhb,20
aagdjibjh,36
aagdjigjj,43
aagejceff,295
aagejcfcd,553
aagejdccj,159
aagejejie,77
aagejejha,190
aagejhdij,nan
aagfjeihb,145
aagfjfbhh,748
aagfjfdfe,136
aaggbcefi,2
aaggdgegi,67
aaggfbbba,159
aaggfgbbj,54
aaggjcggf,54
aaggjhfeh,nan
aaghbfhfb,28
aaghdeihi,477
aafcbeddc,23
aafcbjabf,14
aafcdbcbc,109
aafcfjgig,409
aafchbaja,17
aafchbaid,37
aafchbedf,2
aafchcigi,2
aafchcigi,2
aabgebgbd,48
aaacgdhdh,821
aaaedagad,72
aaaedaiaa,331
aaaedbhaj,137
aaaedjghj,725
aabdecfec,141
aahhbcdcc,136
aahhcjjba,605
aahhdbjej,74
aahddhhhe,nan
aahddifgi,928
aahdeacfc,31
aaecijfbg,9
aagccjicf,233
aagcdabgh,181
aagceifdj,555
aagcfbhee,0
aagcfeebd,6
aafidfjjc,42
