Dataset ID,Repo Type,Repo Name,Filename,Comment-Introducing Revision,Comment-Removing Revision,Comment Text,Is TD?,Software TD Type,ML TD Type,ML TD Type 2,ML Pipeline Stage
aahiieiig,Tool,kengz/SLM-Lab,slm_lab/agent/algorithm/algorithm_util.py,https://github.com/kengz/SLM-Lab/commit/4df11055e61fa6c9fede6b2114c8ce05de9a035e,STILL_EXISTS,''' || Functions used by more than one algorithm || TODO refactor properly later || ''',Yes,Design,,,Modeling
aaehidhih,Tool,cltk/cltk,cltk/parse/classical_latin/parse_latin_analyses.py,https://github.com/cltk/cltk/commit/426111e1688076fce9ae758e4c819309c664ad4b,STILL_EXISTS,!TODO,Yes,Code,MCC,DS Configuration,Data Pre
aaejjbhji,Application,loli/medpy,src/medpy/graphcut/generate.py,https://github.com/loli/medpy/commit/183b17ee92f1aacef8db4d7e24db4cfa4fd79d03,STILL_EXISTS,!TODO: An empty dictionary would actually also do here ... despite the fact that,Yes,Requirement,PODT,DS Configuration,Data Pre
aaejjacgf,Application,loli/medpy,src/medpy/itkvtk/application/batch_watershed.py,https://github.com/loli/medpy/commit/63d0245d412f5204efe84b712b60c16fa52cc3ec,STILL_EXISTS,!TODO: In some cases; US is not enough to hold the complete number,Yes,Defect,MLKnow,,Data Pre
aaebbecaa,Application,Calysto/conx,conx/widgets.py,https://github.com/Calysto/conx/commit/83f8cf6a16cad52cc9f93480fa238e814e84c78a,STILL_EXISTS,# Hack to center SVG as justify-content is broken:,Yes,Defect,,,Other
aaahbghib,Application,Erotemic/netharn,netharn/util/mplutil.py,https://github.com/Erotemic/netharn/commit/11dd3d227cbb397304522932872aba936f0c216d,https://github.com/Erotemic/netharn/commit/d1b55cd98ddca3310193551ab5b1c581e013d7db,# hackier; fixme to use regex or something,Yes,Code,,,Data Pre
aaaegfgeb,Application,zsdonghao/im2txt2im,tensorlayer/layers.py,https://github.com/zsdonghao/im2txt2im/commit/426ebb96165f793b40c0d0066d0e164d4d161e8d,STILL_EXISTS,# reverse bw; before concat TODO,Yes,,Layer Conf,,Modeling
aagcbjjcd,Application,amineHorseman/facial-expression-recognition-using-cnn,data_loader.py,https://github.com/amineHorseman/facial-expression-recognition-using-cnn/commit/5669907899102f453f77f8b40bae2758d1f215d5,STILL_EXISTS,# TODO : load landmarks in validation and test set also. I'm too sleepy to do it today -_- zzz... zzz...,Yes,Requirement,Data Conf,,Training
aagdfgjig,Application,hypnosapos/cartpole-rl-remote,src/qlearning_agent.py,https://github.com/hypnosapos/cartpole-rl-remote/commit/caff687ce87569179ed5385976f859ef7762c47f,https://github.com/hypnosapos/cartpole-rl-remote/commit/b951da830001413588eae1a1deb3a54fea6de2f9,# TODO Change to call remote model,Yes,Code,,,Other
aaaedagad,Application,roscisz/TensorHive,tensorhive/core/services/FoobarService.py,https://github.com/roscisz/TensorHive/commit/cbc817a66f9a72ff9db42e71f173ce04795d6e5e,https://github.com/roscisz/TensorHive/commit/2fbdf5d4da4077e327066d248ffaa7d74b1c3a44,# TODO May want to rewrite name; index; uuid; etc.,Yes,Code,,,Other
aageijaai,Application,nengo/nengo-dl,nengo_lasagne/nengo_lasagne/layers.py,https://github.com/nengo/nengo-dl/commit/75c58f100d2b5b7bcadc1b6661d53f860bf1c9cd,STILL_EXISTS,# TODO: do we want gains\/biases to be trainable?,Yes,Requirement,MLKnow,Weight Conf,Training
aafaehach,Application,HunterMcGushion/hyperparameter_hunter,hyperparameter_hunter/feature_engineering.py,https://github.com/HunterMcGushion/hyperparameter_hunter/commit/531e1e2f2f9962527518d812efd345cf6cfd9575,https://github.com/HunterMcGushion/hyperparameter_hunter/commit/00a11c260e97fd6b7a001b2f63ed78062e3d6c28,"# TODO: Set name (using \""functionality.__name__\"") if name is None",Yes,Code,,,Data Pre
aaebbeedd,Application,Calysto/conx,conx/_cairosvg.py,https://github.com/Calysto/conx/commit/4c3d631b7d3976d902765b2b4077f56edfba9970,STILL_EXISTS,## elif (): ## FIXME: handle other bases here,Yes,Requirement,Proto,,Data Pre
aadbjfiab,Application,mesnico/learning-relationship-aware-visual-features,networkx/networkx/algorithms/isomorphism/isomorphvf2.py,https://github.com/mesnico/learning-relationship-aware-visual-features/commit/f7d9014a2009b22ab6a75ca44ac7822c0099ce09,STILL_EXISTS,## TODO:,Yes,Design,HP Conf,,Modeling
aaibjbide,Tool,scikit-learn/scikit-learn,scikits/learn/glm/base.py,https://github.com/scikit-learn/scikit-learn/commit/df8c593ce694869e11fd459fc310d0ce0a55788e,STILL_EXISTS,## TODO: intercept for all models,Yes,Design,Abs,MCR,Training
