full_name,Category
awslabs/datawig-sagemaker,Applied
cair/regression-tsetlin-machine,Applied
CAMeL-Lab/camel_tools,Applied
carsdotcom/skelebot,Applied
cbg-ethz/pybda,Applied
CBNU-Nnet/Artificial_Intelligence,Applied
clusterking/clusterking,Applied
DTUComputeStatisticsAndDataAnalysis/MBPLS,Applied
ECRL/ECNet,Applied
eternagame/EternaBrain,Applied
fritzlabs/fritz-repository,Applied
hypnosapos/visdom-docker,Applied
IBM/MAX-Text-Sentiment-Classifier,Applied
IBM/MAX-Audio-Sample-Generator,Applied
inception-project/external-recommender-spacy,Applied
mideind/ReynirCorrect,Applied
neptune-ml/neptune-quick-start,Applied
nlpAThits/figet-hyperbolic-space,Applied
osirislab/armana,Applied
PacktPublishing/Natural-Language-Processing-in-Practice,Applied
phievo/phievo,Applied
pln-fing-udelar/humor,Applied
polyaxon/polyaxon-schemas,Applied
ComputationalCryoEM/ASPIRE-Python,Applied
rirnet/rirnet,Applied
sintefneodroid/neo,Applied
skyportal/skyportal,Applied
src-d/ml-core,Applied
tasoc/starclass,Applied
tum-vision/lgm,Applied
ultralytics/wave,Applied
valohai/valohai-cli,Applied
Acellera/moleculekit,Applied
AlpacaDB/backlight,Applied
AssembleSoftware/IoTPy,Applied
astrazeneca-cgr-publications/mantis-ml-release,Applied
AVAuco/laeonet,Applied
BorgwardtLab/P-WL,Applied
BS-TrainingCenter/Gesture-Recognition-Mask-RCNN,Applied
friendsofagape/mt2414,Applied
ivclab/PAE,Applied
neptune-ai/neptune-lib,Applied
Octavian-ai/learning-rate-finder-tensorflow,Applied
ParrotPrediction/pyalcs,Applied
pFindStudio/pDeep,Applied
praekelt/feersum-nlu-api-wrappers,Applied
Roboy/tss18-robotsinmusicalimprovisation,Applied
guotong1988/BERT-GPU,Applied
rosette-api-community/rosettepedia,Applied
scikit-learn-contrib/mimic,Applied
sfu-natlang/HMM-Aligner,Applied
sintefneodroid/agent,Applied
UGentBiomath/wwdata,Applied
uwreact/uwreact_robot,Applied
affinis-lab/traffic-light-detection-module,Applied
AllenInstitute/mouse_connectivity_models,Applied
cbmi-uthsc/deepSepsis,Applied
font-bakers/knead,Applied
IXarea/LittleGAN,Applied
kscompsci/TAKING-IDENTITY-INFORMATION-WITH-CAMERA-BY-USING-TENSORFLOW-AND-OPENCV,Applied
malllabiisc/lcn,Applied
pathwayforte/pathway-forte,Applied
spacetelescope/jwql,Applied
triagemd/model-serving,Applied
UiO-CS/tf-wavelets,Applied
ultralytics/velocity,Applied
ur-whitelab/hoomd-tf,Applied
WattSocialBot/alana_learning_to_rank,Applied
braincreators/octconv,Applied
dlt-rilmta/emtsv,Applied
IBM/MAX-Speech-to-Text-Converter,Applied
iterative/example-get-started,Applied
lsa-pucrs/acerta-abide,Applied
ml-feeds/arxiv-ml-reviews,Applied
nearthlab/image-segmentation,Applied
pandoraboxchain/pyrrha-pynode,Applied
ParsianRoboticLab/Zero-Shot-Learning,Applied
Project-Road-Sign-Detection/Tensorflow-Street-Sign-Recognition,Applied
ai-med/nn-common-modules,Applied
autonomio/wrangle,Applied
Axelrod-Python/axelrod-dojo,Applied
ClarityCafe/Ivy,Applied
customink/lambdipy,Applied
grafit-io/grafit,Applied
HMS-IDAC/ImageForensics,Applied
trungnt13/odin-ai,Applied
innodatalabs/tbert,Applied
koalanlp/python-support,Applied
Merck/deepbgc,Applied
Neuraxio/Neuraxle,Applied
polyaxon/polyaxon-client,Applied
saksdirect/tophat,Applied
snipsco/snips-nlu-metrics,Applied
SpatialPerceptionNeuralNetwork/SOA_DORN_TF,Applied
SystemsGenetics/gene-oracle,Applied
undertheseanlp/sentiment,Applied
verifid/mocr,Applied
PennyLaneAI/pennylane-sf,Applied
PennyLaneAI/pennylane-pq,Applied
allenai/comb_dist_direct_relex,Applied
astropy/astrowidgets,Applied
cbmi-uthsc/pySickleCell,Applied
